id,listing_url,name,summary,description,host_id,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,street,neighbourhood,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
1787297,https://www.airbnb.com/rooms/1787297,,,,9379642,2013,,1,,,,,,Oud-Oost,Amsterdam,North Holland,1091 KH,,52.35113163,4.913626135,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,70,,,250,50,1,0,2,,,21,24/12/2013,26/08/2015,92,9,8,10,10,10,9,,
4657496,https://www.airbnb.com/rooms/4657496,,,,9381245,2013,,1,,,,,,Zuid,Amsterdam,Noord-Holland,1071 NL,,52.35392421,4.871946251,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,175,,,500,125,1,0,2,,,2,26/05/2013,9/7/2015,100,10,10,10,10,10,10,,
4480255,https://www.airbnb.com/rooms/4480255,,,,9386523,2013,,0.67,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1053KV,,52.36896992,4.870909156,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,125,,,,,1,0,5,,,1,28/01/2013,14/09/2015,100,10,10,10,10,10,10,,
2514858,https://www.airbnb.com/rooms/2514858,,,,9396158,2013,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1073 AH,,52.35089113,4.894373166,,Apartment,Private room,2,1,1,1,Real Bed,,65,,,,130,1,0,2,,,1,11/5/2013,13/08/2015,97,10,10,10,10,8,10,,
1791234,https://www.airbnb.com/rooms/1791234,,,,9398246,2013,,0.7,,,,,,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1094 PR,,52.35993507,4.936028097,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,80,,,,10,1,25,2,,,17,22/06/2013,6/7/2015,96,10,10,10,10,9,9,,
4671224,https://www.airbnb.com/rooms/4671224,,,,9403360,2013,,1,,,,,,Slotervaart,Amsterdam,NH,1062 JR,,52.36220996,4.840508362,,Apartment,Private room,3,1,1,1,Real Bed,,79,,,,,2,40,1,,,8,19/12/2013,2/9/2015,90,10,10,9,10,8,9,,
3658375,https://www.airbnb.com/rooms/3658375,,,,9405319,2013,,0.98,,,,,,Oud-Oost,Amsterdam,NH,1091GT,,52.35660513,4.909598177,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,179,,,,,1,0,2,,,3,14/03/2013,24/09/2015,100,7,9,10,10,10,9,,
4336950,https://www.airbnb.com/rooms/4336950,,,,9407055,2013,,1,,,,,,Centrum-Oost,Amsterdam,North Holland,,,52.35916299,4.895085405,,Boat,Entire home/apt,4,1,2,2,Real Bed,,225,,,,,4,20,2,,,4,16/04/2013,9/8/2015,95,9,9,10,10,9,9,,
3309390,https://www.airbnb.com/rooms/3309390,,,,9407055,2013,,1,,,,,,Centrum-Oost,Amsterdam,North Holland,1017 ZS,,52.35844146,4.894792285,,Boat,Private room,2,1,1,1,Real Bed,,115,,,500,150,1,0,1,,,4,2/7/2013,27/08/2015,95,10,10,9,10,10,10,,
1793971,https://www.airbnb.com/rooms/1793971,,,,9412285,2013,,1,,,,,,Oud-Noord,Amsterdam,North Holland,1025 RW,,52.39270026,4.92514913,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,86,,,400,50,2,30,2,,,10,9/7/2013,9/8/2015,94,9,10,10,10,9,8,,
3153526,https://www.airbnb.com/rooms/3153526,,,,9417941,2013,,0.96,,,,,,Centrum-West,Amsterdam,North Holland,1016 XC,,52.3673391,4.882033008,,Apartment,Entire home/apt,4,1,2,4,Real Bed,,120,,,"1,000.00",,1,0,3,,,17,27/07/2013,3/9/2015,84,9,9,9,9,10,8,,
1901845,https://www.airbnb.com/rooms/1901845,,,,9426449,2013,,1,,,,,,Slotervaart,Amsterdam,North Holland,1065 BG,,52.35928585,4.81915114,,House,Entire home/apt,5,2,2,5,Real Bed,,190,,,200,85,4,30,2,,,8,7/6/2013,12/8/2015,95,10,10,10,10,9,9,,
1797364,https://www.airbnb.com/rooms/1797364,,,,9426449,2013,,1,,,,,,Slotervaart,Amsterdam,North Holland,1065 BG,,52.3599089,4.818858746,,Apartment,Entire home/apt,3,1,1,3,Real Bed,,80,,,750,50,2,30,2,,,12,24/06/2013,25/07/2015,95,10,10,10,10,9,9,,
1859255,https://www.airbnb.com/rooms/1859255,,,,9426449,2013,,1,,,,,,Slotervaart,Amsterdam,North Holland,1065 BG,,52.35822943,4.819242494,,Apartment,Entire home/apt,2,1,0,1,Real Bed,,75,,,300,80,1,0,2,,,21,20/09/2013,12/7/2015,97,10,10,10,10,9,9,,
3601855,https://www.airbnb.com/rooms/3601855,,,,9428832,2013,,N/A,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1056 HH,,52.37278564,4.859516969,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,95,,,350,50,2,25,2,,,1,8/7/2013,15/09/2015,100,10,8,10,10,8,10,,
1798945,https://www.airbnb.com/rooms/1798945,,,,9434039,2013,,1,,,,,,Centrum-Oost,Amsterdam,Noord-Holland,1017 EX,,52.36313988,4.89803387,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,199,,,"1,000.00",60,2,60,2,,,6,10/12/2013,26/08/2015,100,10,10,10,10,10,9,,
4693511,https://www.airbnb.com/rooms/4693511,,,,9436031,2013,,1,,,,,,Oud-Oost,Amsterdam,Noord-Holland,1091 TP,,52.35008627,4.914006462,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,80,,,299,29,1,0,4,,,4,24/09/2013,13/07/2015,95,10,9,10,10,10,10,,
1799828,https://www.airbnb.com/rooms/1799828,,,,9437651,2013,,0.97,,,,,,Centrum-West,Amsterdam,North Holland,1012 PL,,52.37300696,4.892568773,,Apartment,Entire home/apt,3,1,0,2,Real Bed,,65,,,,,2,45,1,,,66,7/5/2013,22/07/2015,94,10,9,10,10,10,9,,
1801727,https://www.airbnb.com/rooms/1801727,,,,9445701,2013,,N/A,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 HZ,,52.35338661,4.907581909,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,150,,,,,1,0,6,,,1,9/11/2013,26/08/2015,100,10,10,10,10,10,10,,
4249096,https://www.airbnb.com/rooms/4249096,,,,9446073,2013,,0.93,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,,52.3705993,4.874759132,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,95,,,,,1,0,1,,,0,27/11/2013,4/9/2015,,,,,,,,,
1802029,https://www.airbnb.com/rooms/1802029,,,,9446964,2013,,0.5,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074,,52.35039757,4.904645769,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,89,,,,99,1,0,1,,,2,5/7/2013,28/08/2015,90,10,10,9,10,10,9,,
1802090,https://www.airbnb.com/rooms/1802090,,,,9447620,2013,,1,,,,,,Centrum-Oost,Amsterdam,North Holland,1011,,52.37439555,4.902168213,,Apartment,Entire home/apt,2,2,1,1,Real Bed,,135,,,,,1,0,1,,,5,15/03/2013,2/9/2015,96,10,10,8,8,10,10,,
3575543,https://www.airbnb.com/rooms/3575543,,,,9449364,2013,,1,,,,,,Zuid,Amsterdam,North Holland,1071,,52.35335372,4.869653207,,Apartment,Entire home/apt,2,1,2,1,Real Bed,,150,,,125,75,1,0,2,,,9,19/08/2013,3/7/2015,100,10,9,10,10,10,10,,
3776362,https://www.airbnb.com/rooms/3776362,,,,9456796,2013,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 HN,,52.35051744,4.888531361,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,160,,,,,2,20,2,,,2,14/07/2013,18/07/2015,100,10,10,10,10,10,9,,
1810045,https://www.airbnb.com/rooms/1810045,,,,9464252,2013,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,,52.34531597,4.899717583,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,65,,,,,1,0,1,,,25,1/5/2013,6/8/2015,90,9,10,9,9,9,9,,
1806340,https://www.airbnb.com/rooms/1806340,,,,9466319,2013,,1,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 GA,,52.36623473,4.8632063,,Apartment,Entire home/apt,5,1,3,3,Real Bed,,88,,,,15,4,50,2,,,7,14/05/2013,15/08/2015,91,9,8,10,10,9,9,,
